省份,城市,区域,商圈,资源名称,详细地址,楼盘类型,楼栋数量,单元门数量,楼盘价格,住户数量,入住年份,广告限制,大门口媒体面数,单元内媒体数,其他媒体面数,总媒体面数
广东省,深圳市,南山区,科技园,帝景园二期,深圳市南山区科技园科技中一路7号,社区,2,10.0,114400,248,2000,,0,14,0,14
广东省,深圳市,龙岗区,坂田,佳兆业城市广场三期,深圳市龙岗区宝吉路与坂李大道交叉处,社区,1,2.0,76700,1963,2017,,0,2,0,2
广东省,深圳市,罗湖区,东门,国际名园,罗湖区江背路18号,社区,2,2.0,110500,950,2002,,1,5,0,6
广东省,深圳市,南山区,科技园,汇景豪苑,深圳市南山区科兴路10号,社区,5,5.0,98800,918,2000,,0,16,2,18
广东省,深圳市,罗湖区,泥岗,旭飞华天苑,罗湖区坭岗东路1120号,社区,2,2.0,55510,2016,1998,,0,7,0,7
广东省,深圳市,宝安区,沙井,雅景苑,宝安区环镇路240号10A,社区,5,5.0,94250,111,2013,,0,20,0,20
广东省,深圳市,宝安区,固戍,雅庭苑,宝安区宝安大道5001-1号,社区,5,11.0,27300,650,2014,,0,10,0,10
广东省,深圳市,罗湖区,黄贝岭,华丽青年公寓,罗湖区华丽路1041号,社区,1,1.0,78000,250,2008,,0,1,0,1
广东省,深圳市,福田区,福田中心区,荔香坊,福田区荔香街1号,社区,3,3.0,122200,144,2005,,0,6,0,6
广东省,深圳市,福田区,上梅林,蓝宝石家园,福田区奥士达路7号,社区,4,4.0,87100,150,2003,,0,4,0,4
广东省,深圳市,罗湖区,莲塘,航天晴山月名园,罗湖区莲塘罗沙路2008号,社区,4,4.0,81900,500,2008,,0,19,1,20
广东省,深圳市,福田区,八卦岭,深业依山居,福田区梅岗路16号,社区,12,12.0,84760,324,2001,,0,11,0,11
广东省,深圳市,宝安区,西乡,源和苑二期,宝安区宝源路2260号,社区,8,6.0,65000,750,2018,,0,1,0,1
广东省,深圳市,福田区,华强南,漾福居,福田区福华路123号,社区,2,2.0,81900,747,2002,,0,4,0,4
广东省,深圳市,光明区,公明,轩苑居,宝安区光明区民生路73号,社区,2,2.0,75400,420,2015,,0,2,0,2
广东省,深圳市,南山区,西丽,鼎胜林栖园,深圳市南山区龙井路93号,社区,3,10.0,78000,171,2007,,1,10,0,11
广东省,深圳市,龙岗区,南岭,文峰华庭,龙岗区南湾街道南湾路4号,社区,12,8.0,71500,1077,2012,,0,15,3,18
广东省,深圳市,龙华区,红山,展润公寓,龙华区腾龙路龙塘新村,社区,2,2.0,36400,378,1970,,0,2,0,2
广东省,深圳市,龙华区,民治,世纪春城四期,龙华区梅龙路与民安路交叉口,社区,5,12.0,65000,1460,2007,,1,66,0,67
广东省,深圳市,龙华区,红山,圆酒店公寓,龙华区民治街道腾龙路152号润达圆庭A座近4号线红山地铁站A出口、九方购物中心,社区,4,4.0,104000,850,2018,,0,6,0,6
广东省,深圳市,宝安区,新安,融景园,宝安区裕安一路与翻身路交叉路口往西约100米,社区,2,2.0,78000,240,2003,,0,12,0,12
广东省,深圳市,龙岗区,横岗,麟恒中心广场二期,龙岗区龙岗大道横岗段2999号,社区,5,5.0,61100,672,2015,,0,5,1,6
广东省,深圳市,龙岗区,横岗,麟恒中心广场一期,龙岗区龙岗大道2999号,社区,4,6.0,61100,788,2013,,0,48,0,48
广东省,深圳市,罗湖区,东门,南塘商业广场,罗湖区永新街13号,社区,3,3.0,76700,990,1999,,2,0,0,2
广东省,深圳市,南山区,西丽,欧陆经典,深圳市南山区龙井路265号,社区,7,26.0,92300,430,2004,,0,31,4,35
广东省,深圳市,福田区,梅林,华府馨居,福田区安得街5号,社区,5,5.0,91000,371,2004,,0,16,0,16
广东省,深圳市,龙华区,梅林关口,鑫茂花园C区,龙华区民丰路257号,社区,1,3.0,94222,1365,2006,沐足SPA,0,6,0,6
广东省,深圳市,龙华区,梅林关口,鑫茂花园B区,龙华区民治大道183号,社区,3,9.0,94222,1365,2006,沐足SPA,0,16,0,16
广东省,深圳市,龙华区,梅林关口,鑫茂花园A区,龙华区民丰路173号,社区,6,21.0,94222,1374,2005,沐足SPA,0,45,0,45
广东省,深圳市,福田区,梅林,健君园,福田区彩田北路7024号翰岭院大门正对面,社区,5,11.0,113100,353,2009,,0,22,0,22
广东省,深圳市,福田区,景田,香丽大厦,福田区莲花路2075号,社区,1,2.0,81770,384,1997,,0,12,0,12
广东省,深圳市,宝安区,翻身,洪福雅苑,宝安区翻身路121-2号,社区,5,5.0,74880,188,2009,,0,10,2,12
广东省,深圳市,龙岗区,龙岗中心城,顺泽阳光公馆,龙岗区高科西路,社区,3,3.0,52000,170,2019,,1,0,0,1
广东省,深圳市,龙华区,红山,幸福枫景花园,龙华区梅陇路337号,社区,2,10.0,75660,413,2006,沐足SPA,0,19,0,19
广东省,深圳市,宝安区,新安,深航假日名居,宝安区新安六路与金科路567号,社区,10,16.0,130000,2522,2009,,0,63,0,63
广东省,深圳市,福田区,景田,俊景豪园,福田区莲花街道康欣社区香梅路2002号,社区,3,3.0,92300,656,1999,,0,7,0,7
广东省,深圳市,福田区,石厦,物业时代新居,福田区福保街道新港社区福强路3010号,社区,7,16.0,89700,174,1997,,4,34,0,38
广东省,深圳市,龙岗区,布吉,怡康家园,龙岗区中翠路109号,社区,1,1.0,65000,1023,2004,,2,0,0,2
广东省,深圳市,南山区,南山中心区,供电服务大厦,深圳市南山区南光路69号,社区,1,1.0,84500,320,2002,,0,1,0,1
广东省,深圳市,福田区,下梅林,文伟阁,福田区龙尾路9号,社区,1,2.0,109200,465,1999,,0,8,0,8
广东省,深圳市,龙岗区,大运,海逸雅居,龙岗区龙翔大道718号,社区,6,12.0,52390,240,2003,,1,26,1,28
广东省,深圳市,罗湖区,黄贝岭,中山花园大厦,罗湖区华丽路1026号,社区,2,2.0,58500,480,1995,,3,7,2,12
广东省,深圳市,福田区,新洲,福瑞阁,福田区新洲九街339号,社区,2,2.0,91000,180,2000,,1,12,0,13
广东省,深圳市,宝安区,西乡,幸福港湾尚品居,宝安区兴业路3003号,社区,1,5.0,95550,1138,2015,,1,26,0,27
广东省,深圳市,宝安区,西乡,幸福港湾御品居,宝安区兴业路3003号,社区,2,2.0,95550,256,2015,,0,8,0,8
广东省,深圳市,罗湖区,翠竹,泊林花园,罗湖区翠竹街道翠锦社区水贝二路38号,社区,7,6.0,82160,1321,2005,,0,41,0,41
广东省,深圳市,龙岗区,布吉,恒大国香山翡翠华庭,龙岗区沙平北路92号,社区,2,2.0,26000,1648,2013,,2,53,0,55
广东省,深圳市,南山区,西丽,龙珠军苑,深圳市南山区西丽,社区,3,3.0,45500,600,2008,,0,19,0,19
广东省,深圳市,龙岗区,深圳东站,布吉中心广场A座,龙岗区吉华路69号,社区,2,2.0,58500,968,1999,,0,4,0,4
广东省,深圳市,龙岗区,布吉,慢城四期,龙岗区布吉街道东方半岛社区科技园路141号,社区,4,9.0,72800,1144,2006,,0,24,0,24
广东省,深圳市,罗湖区,东门,华盛君荟名庭,罗湖区东门中路2125号,社区,2,2.0,98800,414,2011,,0,10,0,10
广东省,深圳市,龙华区,坂田,风清林苑,龙岗区发达路3号,社区,4,4.0,55900,598,2019,,1,0,0,1
广东省,深圳市,福田区,百花,长泰花园,福田区百花四路10号,社区,2,2.0,130000,501,1997,,1,6,1,8
广东省,深圳市,罗湖区,布心,英达花园,罗湖区独树村1号,社区,3,7.0,65000,510,1994,,0,5,2,7
广东省,深圳市,罗湖区,东门,东悦名轩,罗湖区童乐路1号,社区,3,3.0,110500,846,2002,,0,17,0,17
广东省,深圳市,福田区,皇岗 / 新洲,裕康时尚名居,福田区石厦一街9号,社区,2,2.0,101400,489,2002,,0,8,0,8
广东省,深圳市,龙华区,观澜,尚品雅居,龙华区澳桂路11号,社区,2,6.0,26000,1280,2012,,1,11,0,12
广东省,深圳市,罗湖区,人民南,边检一号大院二期,罗湖区南湖路1003号,社区,5,5.0,39000,530,2011,,0,30,0,30
广东省,深圳市,南山区,南油,汉京峰景苑,深圳市南山区向南路66号,社区,2,4.0,130000,832,2009,,3,10,1,14
广东省,深圳市,罗湖区,东门,好年华大厦,罗湖区立新路68号,社区,1,1.0,84500,399,2003,,1,1,0,2
广东省,深圳市,罗湖区,笋岗,华商时代公寓,罗湖区北站路3号,社区,1,1.0,45500,316,2007,,0,1,0,1
广东省,深圳市,罗湖区,莲塘,麓茵翠地,罗湖区莲塘鹏兴路1号,社区,13,13.0,73320,611,2002,,1,0,0,1
广东省,深圳市,罗湖区,人民南,边检一号大院一期,罗湖区沿河南路1019号,社区,3,3.0,39000,315,2011,,0,22,0,22
广东省,深圳市,罗湖区,水贝地铁站,松泉公寓,罗湖区太白路3038号,社区,1,1.0,78000,2452,1988,,0,1,0,1
广东省,深圳市,宝安区,新安,君成雍和园,宝安区庄边路与前进二路交叉口西南120米,社区,4,6.0,88400,1707,2014,,1,45,0,46
广东省,深圳市,福田区,华强南,城投福滨苑,福田区福田街道圩镇社区福田南路22号,社区,2,2.0,99580,312,2003,,2,4,0,6
广东省,深圳市,南山区,南油,金晖大厦,深圳市南山区南海大道2093号,社区,2,2.0,87100,440,2001,,2,6,0,8
广东省,深圳市,南山区,后海,金色阳光雅居,深圳市南山区蓝天路4号,社区,1,1.0,91000,147,2005,,0,2,0,2
广东省,深圳市,南山区,南山中心区,荔园大厦,深圳市南山区桂庙路24号,社区,1,2.0,72800,368,1990,,0,0,1,1
广东省,深圳市,宝安区,沙井,田园居,宝安区沙井街道沙三路9号,社区,3,3.0,45500,492,2011,,0,6,0,6
广东省,深圳市,龙岗区,南岭,南洋花园,龙岗区环湖路59号,社区,1,1.0,26000,1762,2002,,0,1,0,1
广东省,深圳市,宝安区,宝安中心区,金成名苑,宝安区宝安大道2072号,社区,9,9.0,88400,300,2004,,0,14,0,14
广东省,深圳市,龙华区,龙华中心区,尚城雅园,龙华区三联路与清阳路交叉路口往西北约50米(佳和苑东北侧约50米),社区,2,3.0,32500,426,2012,,6,7,0,13
广东省,深圳市,南山区,蛇口,海尚国际,深圳市南山区蛇口,社区,3,3.0,136500,540,2004,,2,6,0,8
广东省,深圳市,宝安区,翻身,富源花园,宝安区翻身路91号,社区,10,10.0,78000,587,2005,,0,20,0,20
广东省,深圳市,龙岗区,南湾,农民公寓,龙岗区南岭村,社区,3,3.0,26000,328,2004,,0,7,0,7
广东省,深圳市,宝安区,宝安中心区,豪城馨庭居,宝安区甲岸路13号,社区,8,11.0,84500,239,2002,,0,10,0,10
广东省,深圳市,罗湖区,田贝,新港鸿一期,罗湖区翠竹街道翠辉社区太安路128号,社区,3,4.0,69810,500,2000,,0,8,0,8
广东省,深圳市,罗湖区,田贝,新港鸿二期,罗湖区翠竹街道翠辉社区太安路128号,社区,3,3.0,69810,1362,2000,,0,8,0,8
广东省,深圳市,罗湖区,田贝,新港鸿三期,罗湖区翠竹街道翠辉社区太安路128号,社区,1,1.0,69810,1362,2000,,0,4,0,4
广东省,深圳市,罗湖区,田贝,新港鸿四期,罗湖区翠竹街道翠辉社区太安路128号,社区,1,1.0,69810,1362,2000,,0,8,0,8
广东省,深圳市,龙华区,龙华中心区,美丽家园北区,龙华区东环二路与建设路交叉口,社区,8,12.0,59800,1290,2002,,1,24,0,25
广东省,深圳市,龙华区,龙华中心区,美丽家园北区,龙华区Y156与龙华和平路交叉路口往南约50米,社区,10,20.0,59800,458,2002,,0,8,0,8
广东省,深圳市,罗湖区,布心,金威苑,罗湖区布心东湖路118号,社区,3,4.0,78000,204,2017,,0,8,0,8
广东省,深圳市,罗湖区,布心,金威新苑,罗湖区太白路3016号,社区,3,3.0,104000,204,2017,,3,20,0,23
广东省,深圳市,福田区,新洲,新洲花园,福田区新洲南路3183号,社区,9,25.0,91000,810,1996,"低俗,沐足SPA",0,49,0,49
广东省,深圳市,福田区,新洲,新洲花园综合楼,福田区新洲一街与新洲九街交叉口,社区,3,5.0,91000,120,2014,"低俗,沐足SPA",0,12,0,12
广东省,深圳市,龙岗区,平湖,深华业大厦,龙岗区新立街18号,社区,5,5.0,63700,180,2000,,1,5,0,6
广东省,深圳市,龙华区,龙华中心区,利金城华侨新村公寓,龙华区布龙路173号,社区,13,41.0,58500,553,2004,,0,80,0,80
广东省,深圳市,龙岗区,龙岗中心城,龙城国际一期,龙岗区龙福西路138号,社区,7,15.0,75400,576,2006,,0,36,0,36
广东省,深圳市,龙华区,人民路,御筑轩,龙华区龙观西路与联达路交汇处龙华天虹旁,社区,5,5.0,58500,134,2011,,0,10,0,10
广东省,深圳市,龙岗区,平湖,满庭芳,龙岗区平湖凤凰大道263号,社区,6,21.0,41340,326,2002,,0,41,0,41
广东省,深圳市,福田区,沙嘴,好景豪园,福田区沙嘴路2号,社区,5,14.0,84500,426,1998,"低俗,沐足SPA",0,30,0,30
广东省,深圳市,南山区,西丽,岚峰苑,深圳市南山区龙苑路三号,社区,3,3.0,50700,386,2001,,0,12,0,12
广东省,深圳市,福田区,景田北,天一名居,福田区商报东路129号,社区,2,2.0,106600,390,1999,,1,4,0,5
广东省,深圳市,宝安区,沙井,裕富苑,宝安区上星路102号,社区,4,6.0,39000,260,2006,,0,18,0,18
广东省,深圳市,南山区,西丽,泰易公寓,深圳市南山区同发路与官龙路交叉口东南50米,社区,5,5.0,72800,1000,2016,,0,24,0,24
广东省,深圳市,罗湖区,翠竹,翡翠公寓,罗湖区文锦北路1058号,社区,1,1.0,80600,620,2013,,0,4,0,4
广东省,深圳市,罗湖区,东门,金源大厦,罗湖区东门南路3009号,社区,1,1.0,54600,310,1997,,1,0,0,1
广东省,深圳市,龙华区,观澜,富士嘉园,龙华区观湖街道鹭湖社区观盛四路11号,社区,5,5.0,78000,1353,2015,,0,32,0,32
广东省,深圳市,南山区,桃源村,海龙苑,深圳市南山区龙井路51号,社区,1,4.0,78000,90,2004,,0,16,0,16
广东省,深圳市,龙华区,民治,龙塘居,龙华区佳民路与龙塘二路交叉路口南侧,社区,3,3.0,110500,1034,2020,,0,39,0,39
广东省,深圳市,宝安区,西乡,富通城一期（缤纷世界）,宝安区铲岛路2-41号,社区,23,42.0,41340,1024,2005,沐足SPA,0,129,0,129
广东省,深圳市,福田区,笔架山,乐山居,福田区泥岗西路2004号,社区,2,6.0,88400,96,1996,,0,6,0,6
广东省,深圳市,宝安区,西乡,翠景居,宝安区宝民二路168号,社区,5,5.0,58500,475,2003,,0,10,0,10
广东省,深圳市,宝安区,新安,雅然居花园,宝安区前进一路331号,社区,4,8.0,87100,670,2003,,1,28,0,29
广东省,深圳市,龙岗区,平湖,深华业商住楼,龙岗区裕和北街81号,社区,4,4.0,63700,150,1999,,1,7,0,8
广东省,深圳市,福田区,上沙,红树家邻,福田区福荣路21号,社区,5,5.0,89570,276,2004,,0,10,0,10
广东省,深圳市,南山区,西丽,学子荔园,深圳市南山区西丽镇官龙路10号,社区,5,17.0,91000,652,2005,,0,34,0,34
广东省,深圳市,福田区,福田中心区,华景花园,福田区梅华路18号,社区,4,4.0,66300,220,1995,,0,8,0,8
广东省,深圳市,宝安区,福永,天欣花园二期,宝安区龙翔南路与永泰西路交叉口东南方向70米,社区,7,7.0,65000,491,2001,,0,11,0,11
广东省,深圳市,宝安区,松岗,宏发君域,宝安区广深公路与坑尾路交叉路口向西北约100米,社区,6,8.0,78000,1107,2012,,0,35,0,35
广东省,深圳市,福田区,景田北,景田怡华苑,福田区景田北街2号,社区,2,10.0,98020,144,1999,,1,17,0,18
广东省,深圳市,福田区,下梅林,林海山庄,福田区北环大道7020号,社区,3,8.0,78000,756,2000,,0,8,0,8
广东省,深圳市,南山区,南头,名仕春天,深圳市南山区北环大道10115号,社区,2,14.0,52000,1053,2006,,0,28,0,28
广东省,深圳市,南山区,科技园,朗景园,深圳市南山区科技园2号,社区,6,6.0,156000,443,2000,,0,12,0,12
广东省,深圳市,福田区,上梅林,新世界红梅苑,福田区上梅林西横街133号附近,社区,5,18.0,78000,552,1997,,0,35,1,36
广东省,深圳市,龙岗区,平湖,翠峰丽景,龙岗区凤凰大道261号,社区,3,15.0,44720,326,2002,,0,40,2,42
广东省,深圳市,宝安区,西乡,锦明花园,宝安区银田路43号,社区,4,9.0,54600,499,2008,,2,25,0,27
广东省,深圳市,南山区,南山中心区,龙坤居,深圳市南山区南光路5号,社区,2,8.0,88400,553,2000,,0,16,0,16
广东省,深圳市,罗湖区,田贝,柏丽花园,罗湖区翠竹街道民新社区贝丽南路29号,社区,2,2.0,91000,464,1996,,0,6,0,6
广东省,深圳市,宝安区,沙井,骏景豪园,宝安区沙井路3号,社区,3,3.0,26000,174,2011,,0,2,0,2
广东省,深圳市,宝安区,沙井,彩虹居,宝安区沙井街道西环路1007号,社区,2,2.0,52000,300,2003,,0,4,0,4
广东省,深圳市,南山区,蛇口,百花苑,深圳市南山区工业七路47号,社区,4,8.0,92300,167,1999,,0,16,0,16
广东省,深圳市,福田区,梅林,新世界家园,福田区梅华路96号,社区,3,3.0,91000,678,2003,,0,26,0,26
广东省,深圳市,罗湖区,布心,金洲花园,罗湖区东湖街道金岭社区金洲路213号,社区,11,26.0,71500,438,2001,,2,54,0,56
广东省,深圳市,福田区,上梅林,新世界荔园阁二期,福田区梅林路131号,社区,2,5.0,91000,540,2001,,0,19,0,19
广东省,深圳市,宝安区,宝安中心区,华翔居,宝安区上川西路84号,社区,6,6.0,88400,98,1998,,0,12,0,12
广东省,深圳市,宝安区,西乡,海涛居,宝安区宝城095区,社区,2,6.0,84500,84,2002,,0,12,0,12
广东省,深圳市,龙岗区,布吉,华浩源四期,龙岗区国芬路与景芬路交叉口南100米,社区,5,5.0,52000,702,2008,,0,14,0,14
广东省,深圳市,宝安区,西乡,西格公寓,宝安区兴业路2004号,社区,2,2.0,65000,572,2010,,0,8,0,8
广东省,深圳市,宝安区,新安,雅兰亭,宝安区上川路7号,社区,7,13.0,84500,450,2000,,0,24,0,24
广东省,深圳市,南山区,南山中心区,金田花园,深圳市南山区海德二道468号,社区,10,12.0,110500,357,1996,,0,26,0,26
广东省,深圳市,龙华区,大浪,华联丰大厦,龙华区华宁路83-6号华联丰大厦B1栋,社区,2,4.0,52000,719,2011,,0,16,0,16
广东省,深圳市,南山区,科技园,向南茗苑,深圳市南山区海德二道481号,社区,4,10.0,80600,650,1994,,0,20,0,20
广东省,深圳市,福田区,上梅林,建龙苑,福田区梅坳3路6号,社区,3,12.0,75400,389,2001,,0,31,0,31
广东省,深圳市,龙华区,龙华,东源阁,龙华区东源阁3号,社区,4,19.0,52000,356,2002,,0,37,0,37
广东省,深圳市,福田区,皇岗,福雅园,福田区福民路5号,社区,2,2.0,78000,822,2002,,0,4,0,4
广东省,深圳市,龙岗区,横岗,地铁锦上花园三期,龙岗区横岗街道六约社区龙岗大道1018号,社区,5,5.0,78000,680,2020,,0,33,3,36
广东省,深圳市,福田区,华强南,城市杰座,福田区福华路216号,社区,3,3.0,130000,435,2003,,0,18,0,18
广东省,深圳市,宝安区,松岗,中海西岸华府北区,宝安区松岗街道朗下社区沙江路与朗碧路交汇处,社区,15,29.0,65000,2011,2007,,5,115,3,123
广东省,深圳市,宝安区,松岗,中海西岸华府南区,宝安区松岗街道朗下社区朗碧路与沙江路辅路交叉口,社区,7,18.0,65000,1062,2008,,0,76,0,76
广东省,深圳市,福田区,下梅林,润华苑,福田区梅林路138号,社区,3,3.0,91000,420,2002,,0,12,0,12
广东省,深圳市,宝安区,新安,新安湖花园二期,宝安区兴华二路188号,社区,16,26.0,78000,916,2002,,0,20,0,20
广东省,深圳市,福田区,上梅林,新世界荔园阁一期,福田区西横街50号,社区,1,11.0,104000,540,1999,,0,22,0,22
广东省,深圳市,宝安区,福永,天欣花园三期,宝安区永泰西路与政丰南路交叉路口往东约90米,社区,7,7.0,65000,845,2004,,3,18,0,21
广东省,深圳市,龙岗区,龙岗中心城,龙城国际二期,龙岗区龙福西路138号,社区,3,12.0,75400,516,2007,,2,25,0,27
广东省,深圳市,龙岗区,布吉,华浩源三期,龙岗区景芬路承翰国际课程实验校区西北侧约150米,社区,3,10.0,52000,622,2004,,0,10,0,10
广东省,深圳市,龙岗区,布吉,华浩源二期,龙岗区国芬路与景芬路交叉口西约120米,社区,4,12.0,52000,1342,2004,,0,16,0,16
广东省,深圳市,龙岗区,布吉,华浩源一期,龙岗区景芬路与科技园路交叉口东北方向100米,社区,3,9.0,52000,1211,2004,,0,9,0,9
广东省,深圳市,南山区,西丽,冠铭花园,深圳市南山区茶光路74号,社区,5,5.0,104000,2348,2020,,0,16,0,16
广东省,深圳市,宝安区,沙井,德馨苑,宝安区友谊路与开发路西五巷交叉口南100米,社区,4,4.0,45500,428,2017,,0,20,0,20
广东省,深圳市,罗湖区,泥岗,东翠花园,罗湖区金湖路20号,社区,9,15.0,65000,204,1991,,0,28,0,28
广东省,深圳市,南山区,南油,粤海综合市场,深圳市南山区龙城路104号,社区,2,2.0,72800,500,1997,,0,4,0,4
广东省,深圳市,龙华区,观澜,观澜玫瑰苑,龙华区观澜大道396号,社区,5,5.0,78000,1161,2015,,0,30,0,30
广东省,深圳市,福田区,上梅林,半山御景,福田区梅东三路4号,社区,6,7.0,104000,371,2007,,0,34,0,34
广东省,深圳市,龙岗区,平湖,水门逸欣园,龙岗区水门路华侨城四海锦园,社区,3,4.0,58500,731,2003,,1,36,1,38
广东省,深圳市,福田区,八卦岭,旭飞花园,福田区八卦二路15号,社区,5,5.0,108810,2082,1997,,0,23,0,23
广东省,深圳市,福田区,皇岗,华明楼,福田区福强路1022号,社区,1,1.0,64870,176,1994,,0,2,0,2
广东省,深圳市,罗湖区,莲塘,桐景花园,罗湖区港莲路18号,社区,6,9.0,67990,1540,2002,,0,18,0,18
广东省,深圳市,罗湖区,泥岗,鹿岭苑,罗湖区泥东路1126号,社区,5,5.0,57200,180,1998,,0,10,0,10
广东省,深圳市,罗湖区,布心,绿映居,罗湖区翠荫路628号,社区,6,6.0,59670,182,2003,,0,9,0,9
广东省,深圳市,罗湖区,布心,青橙时代公寓,罗湖区东晓路4016号,社区,2,2.0,81120,160,2005,,0,4,0,4
广东省,深圳市,南山区,蛇口,龙电花园A区,深圳市南山区兴工路63号,社区,3,7.0,92300,112,1995,,0,11,0,11
广东省,深圳市,南山区,蛇口,曙光花园,深圳市南山区渔村路,社区,6,6.0,88400,400,1996,,0,12,0,12
广东省,深圳市,龙岗区,平湖,融湖时代花园,龙岗区辅岐路93号,社区,3,7.0,59800,397,2014,沐足SPA,0,52,0,52
广东省,深圳市,罗湖区,国贸,云峰花园,罗湖区南湖街道嘉南社区友谊路29号,社区,2,2.0,65000,561,1997,,0,18,0,18
广东省,深圳市,福田区,福田口岸,富荔花园,福田区振华西路3号,社区,7,25.0,84500,210,1991,,0,44,0,44
广东省,深圳市,福田区,皇岗,港城华庭,福田区裕亨路7号,社区,3,3.0,91000,768,2001,,0,6,0,6
广东省,深圳市,罗湖区,螺岭,海珑华苑,罗湖区黄贝街道凤凰社区凤凰路179号,社区,3,3.0,68770,1130,1998,,0,24,0,24
广东省,深圳市,罗湖区,螺岭,华丽花园,罗湖区华丽路1031号,社区,3,3.0,69940,621,1996,,0,6,0,6
广东省,深圳市,罗湖区,国贸,云景豪园,罗湖区春风路2041号,社区,3,3.0,68900,861,2000,,0,22,0,22
广东省,深圳市,罗湖区,莲塘,华景园,罗湖区国威路35号,社区,7,11.0,92300,196,1998,,0,21,0,21
广东省,深圳市,罗湖区,文锦渡口岸,锦上花家园,罗湖区黄贝岭锦联路43号,社区,2,2.0,67990,650,2002,,0,12,0,12
广东省,深圳市,龙岗区,南岭,鸿润豪苑,龙岗区樟富南路1号,社区,3,3.0,68900,359,2008,,0,11,0,11
广东省,深圳市,龙岗区,南岭,南岭商住楼,龙岗区三角街1-29号,社区,5,5.0,27300,817,2010,,0,10,0,10
广东省,深圳市,龙岗区,龙岗中心城,龙城华府,龙岗区大运余岭西路1号,社区,10,10.0,65000,755,2007,,0,40,0,40
广东省,深圳市,罗湖区,蔡屋围,锦程国际,罗湖区红岭中路2022号,社区,2,2.0,70200,620,2011,,0,8,0,8
广东省,深圳市,罗湖区,莲塘,城市东座,罗湖区港莲路22号,社区,1,1.0,71890,299,2005,,0,2,0,2
广东省,深圳市,龙岗区,布吉,京南华庭,龙岗区布吉街道办罗岗京南路1号,社区,3,3.0,65000,432,2007,,0,12,0,12
广东省,深圳市,龙岗区,丹竹头,丹竹头统建楼,龙岗区丹竹路39号,社区,4,4.0,52000,468,2010,,0,10,0,10
广东省,深圳市,宝安区,西乡,西发花园,宝安区宝安大道4004号,社区,3,3.0,39000,342,2005,,0,18,0,18
广东省,深圳市,龙岗区,布吉,龙岭山庄高层处,龙岗区龙岭西路5号,社区,2,3.0,78000,912,1995,,0,6,0,6
广东省,深圳市,福田区,香蜜湖,香蜜湖豪庭,福田区侨香路1031号,社区,3,6.0,169000,264,2003,,0,24,0,24
广东省,深圳市,宝安区,沙井,上善居,宝安区北环路,社区,5,5.0,26000,528,2011,,0,0,4,4
广东省,深圳市,南山区,蛇口,海境界家园一期,深圳市南山区后海大道1012号,社区,5,5.0,144000,700,2010,沐足SPA,0,32,0,32
广东省,深圳市,南山区,后海,阳光海滨,深圳市南山区后海大道1168号,社区,8,8.0,133900,1067,2002,沐足SPA,0,25,0,25
广东省,深圳市,龙岗区,横岗,荣德雨馨公寓,龙岗区保康路与横华路交叉口东北侧,社区,1,2.0,72800,588,2016,,0,8,0,8
广东省,深圳市,龙岗区,横岗,荣德雨辰公寓,龙岗区旱塘一路与横华路交叉路口东南侧,社区,2,2.0,72800,522,2019,,0,8,0,8
广东省,深圳市,龙岗区,横岗,荣德荣郡轩,龙岗区民乐路2号,社区,1,1.0,75400,478,2018,,0,2,0,2
广东省,深圳市,罗湖区,地王、国贸、东门,幸福万象,罗湖区渔民村38号,社区,1,2.0,91000,330,2014,,0,18,0,18
广东省,深圳市,福田区,景田北,安通花园,福田区景田东路36号,社区,3,7.0,97500,232,2000,,0,11,0,11
广东省,深圳市,龙岗区,横岗,麟恒中心广场三期A区,龙岗区龙岗大道横岗段2999号,社区,4,5.0,61100,1350,2021,,1,58,0,59
广东省,深圳市,龙岗区,横岗,麟恒中心广场三期B区,龙岗区龙岗大道横岗段2999号,社区,2,3.0,61100,600,2022,,0,24,0,24
广东省,深圳市,南山区,南山中心区,东方海雅居,深圳市南山区南光路15号,社区,2,2.0,97500,323,2001,,0,4,0,4
广东省,深圳市,福田区,皇岗,里奥de花园,福田区福强路1016号,社区,1,1.0,76570,207,2003,,0,2,0,2
广东省,深圳市,福田区,下梅林,山水居,福田区龙尾路8号北门,社区,4,6.0,78000,264,2000,,2,12,0,14
广东省,深圳市,福田区,皇岗,庆典大厦,福田区滨河大道6007-1号,社区,1,2.0,74100,102,1998,,0,2,2,4
广东省,深圳市,宝安区,西乡,白金假日公寓,宝安海城路182号,社区,1,2.0,107120,744,2006,,0,14,0,14
广东省,深圳市,龙岗区,龙岗中心城,颐景峰苑,龙岗区建新路2号,社区,1,2.0,42380,273,2008,,0,8,0,8
广东省,深圳市,龙华区,清湖,清湖花半里花园,龙华区龙华街道清湖社区华清大道与龙华大道大和段交叉口,社区,5,5.0,80600,1950,2010,沐足SPA,0,10,0,10
广东省,深圳市,坪山区,坪山,京基御景印象家园三期,坪山区牛角龙路与牛昌路交叉路口往南约100米(京基御景印象),社区,2,2.0,65000,886,2016,,0,4,0,4
广东省,深圳市,坪山区,坪山,京基御景印象家园四期,坪山区振环路与牛昌路交叉路口往南约100米(京基御景印象),社区,9,9.0,65000,1360,2017,,0,23,0,23
广东省,深圳市,光明区,光明,科裕新村,光明区塘家北路与同惠路交叉口南200米,社区,2,2.0,59800,3992,2021,,0,16,0,16
