序号,行政区域,商圈,社区名称,楼盘性质,社区地址,媒体数量,媒体位置,道闸画面尺寸,灯箱显示画面尺寸,楼盘均价,交房时间,楼盘户数,楼盘居住总人数,日人流量,车位数,日车流量,禁忌行业
249,海珠区,滨江东商圈,浪琴居,高档住宅,海珠区滨江东路758-766号,1,混进混出,830*3700,480*845,62000.0,2000,350,1400,2100,150,750,没有限制
250,海珠区,滨江东商圈,天立俊园,高档住宅,海珠区滨江东路1008号,1,进口,830*2880,480*845,52000.0,1999,300,1200,1800,200,1000,没有限制
251,海珠区,滨江东商圈,天立俊园,高档住宅,海珠区滨江东路1008号,1,出口,830*3044,480*845,52000.0,1999,300,1200,1800,200,1000,没有限制
252,海珠区,滨江东商圈,祥兴商务中心,综合商业,广州市海珠区下渡路80米侧,1,混进混出,830*3700,480*845,,2000,680,2720,4080,300,1500,没有限制
253,海珠区,滨江东商圈,珠光·高派华庭,高档住宅,海珠区滨江东路586,1,出口,830*2790,440*920,55000.0,2006,580,2320,3480,350,1750,限制地产
254,海珠区,滨江东商圈,珠光·高派华庭,高档住宅,海珠区滨江东路586,1,进口,830*2716,440*920,55000.0,2006,580,2320,3480,350,1750,限制地产
255,海珠区,滨江中商圈,滨江小区,住宅,海珠区仲恺路642-706号,1,混进混出,830*3618,440*920,40000.0,1995,600,2400,3000,400,2400,没有限制
256,海珠区,滨江中商圈,滨江新天地,综合商业,海珠区怡安路150号,1,进口,750*2800,440*920,,/,1500,6000,9600,1200,7200,没有限制
257,海珠区,滨江中商圈,滨江新天地,综合商业,海珠区怡安路150号,1,出口,750*2800,440*920,,/,1500,6000,9600,1200,7200,没有限制
258,海珠区,滨江中商圈,朗晴居二期,高档住宅,滨江中路草芳围2号,1,出口,830*2790,440*920,68000.0,2003,1800,7200,10800,1500,7500,没有限制
259,海珠区,滨江中商圈,朗晴居二期,高档住宅,滨江中路草芳围2号,1,进口,830*2880,440*920,68000.0,2003,1800,7200,10800,1500,7500,没有限制
260,海珠区,滨江中商圈,怡安花园,高档住宅,怡安路200-286号,1,进口,830*3700,410*780,48000.0,1999,950,3800,5700,460,2300,没有限制
261,海珠区,昌岗中商圈,昌岗小区,住宅,海珠区昌岗中路146号,1,混进混出,830*3290,440*920,40000.0,1998,530,2500,3200,280,1600,没有限制
262,海珠区,昌岗中商圈,京桂花园,住宅,海珠区昌岗中路94号/96/98号,1,混进混出,830*3044,480*845,48000.0,2001,550,2200,3300,300,1800,没有限制
263,海珠区,赤岗商圈,海军大塘小区,住宅,海珠区石榴岗路南一街20号大院,1,出口,830*3637,480*845,38000.0,2000,600,2400,3600,400,1600,没有限制
264,海珠区,赤岗商圈,海军大塘小区,住宅,海珠区石榴岗路南一街20号大院,1,进口,830*3637,480*845,38000.0,2000,600,2400,3600,400,1600,没有限制
265,海珠区,赤岗商圈,华季华庭,住宅,海珠区赤岗江海大道紫菀一路60号,1,混进混出,750*2800,440*920,68000.0,2009,560,2240,2800,400,2400,没有限制
266,海珠区,赤岗商圈,惠馨轩,住宅,海珠区新港中路489号,1,混进混出,750*2800,440*920,40000.0,2018,500,2000,2500,400,2800,没有限制
267,海珠区,赤岗商圈,惠馨轩,住宅,海珠区新港中路489号,1,混进混出,750*3000,440*920,40000.0,2018,500,2000,2500,400,2800,没有限制
268,海珠区,赤岗商圈,聚德大厦,住宅,海珠区聚德北路176号,1,进口,830*3700,440*920,50000.0,2012,850,3400,5300,500,3300,没有限制
269,海珠区,赤岗商圈,聚德大厦,住宅,海珠区聚德北路176号,1,出口,830*3700,480*845,50000.0,2012,850,3400,5300,500,3300,没有限制
270,海珠区,赤岗商圈,毛纺小区,社区,海珠区新港东路452号,1,混进混出,830*3126,410*780,40000.0,1991,1200,4800,6000,850,4250,没有限制
271,海珠区,赤岗商圈,新港商夏,写字楼、综合商业,海珠区新港东路237号,1,混进混出,830*3208,480*845,,/,850,4250,6375,550,2750,没有限制
272,海珠区,赤岗商圈,新港商夏（商业广场门口）,写字楼、综合商业,海珠区新港东路237号,1,混进混出,830*3126,480*845,,/,850,4250,6375,550,2750,没有限制
273,海珠区,工业大道北商圈,城启·逸蓝华庭,高档楼盘,海珠区革新路新民大街42号,1,出口,830*2060,410*780,52000.0,2013,850,3600,5400,550,2300,没有限制
274,海珠区,工业大道北商圈,城启·逸蓝华庭,高档楼盘,海珠区革新路新民大街42号,1,进口,830*3372,410*780,52000.0,2013,850,3600,5400,550,2300,没有限制
275,海珠区,工业大道北商圈,金沙花园,高档住宅,海珠区海珠工业大道北革新路125号,1,混进混出,750*2400,440*920,50000.0,2003,750,3000,3800,500,3000,没有限制
276,海珠区,工业大道北商圈,金沙花园,高档住宅,海珠区海珠工业大道北革新路125号,1,进口,750*2800,440*920,50000.0,2003,750,3000,3800,500,3000,没有限制
277,海珠区,工业大道北商圈,金沙花园（革新路）,高档住宅,海珠区海珠工业大道北革新路125号,1,出口,750*2800,440*920,50000.0,2003,750,3000,3800,500,3000,没有限制
278,海珠区,工业大道南商圈,工业大道南421号大院,住宅,海珠区工业大道南421号大院,1,混进混出,830*3208,440*920,45000.0,1995,600,2400,3600,300,1500,没有限制
279,海珠区,工业大道南商圈,工业大道南425号大院,住宅,海珠区工业大道南425号大院,1,混进混出,830*3044,440*920,42000.0,1997,620,2500,3800,300,1500,没有限制
280,海珠区,工业大道南商圈,和安大厦,高档住宅,海珠区工业大道南永翠路30号,1,进口,830*3044,440*920,45000.0,2008,600,2400,3600,500,2500,没有限制
281,海珠区,工业大道南商圈,和安大厦,高档住宅,海珠区工业大道南永翠路30号,1,出口,830*3044,440*920,45000.0,2008,600,2400,3600,500,2500,没有限制
282,海珠区,工业大道南商圈,尚岭时代西广场,商业广场,海珠区江南大道南尚岭时代西广场,1,混进混出,830*3700,480*845,,2003,500,2000,3000,350,1750,没有限制
283,海珠区,工业大道南商圈,尚领雅筑（商业广场门口）1,综合商业,广州市海珠区瑞宝尚领雅筑(丰瀛广场南50米),1,进口,830*3700,480*845,,2003,500,2000,3000,350,1750,没有限制
284,海珠区,工业大道南商圈,尚领雅筑（商业广场门口）2,综合商业,广州市海珠区瑞宝尚领雅筑(丰瀛广场南50米),1,出口,830*3700,480*845,,2003,500,2000,3000,350,1750,没有限制
285,海珠区,工业大道南商圈,尚领雅筑1,高档住宅,广州市海珠区瑞宝尚领雅筑(丰瀛广场南50米),1,车库进口,830*3700,480*845,45000.0,2003,800,3200,4800,600,3000,没有限制
286,海珠区,工业大道南商圈,尚领雅筑2,高档住宅,广州市海珠区瑞宝尚领雅筑(丰瀛广场南50米),1,车库出口,830*3700,480*845,45000.0,2003,800,3200,4800,600,3000,没有限制
287,海珠区,工业大道南商圈,中顺·领御公馆,高档住宅,海珠工业大道南永翠路2-14号,1,地面进口,830*2880,480*845,40000.0,1999,650,2600,3900,450,2250,没有限制
288,海珠区,工业大道南商圈,中顺·领御公馆,高档住宅,海珠工业大道南永翠路2-14号,1,车库出口,830*2716,480*845,40000.0,1999,650,2600,3900,450,2250,没有限制
289,海珠区,工业大道南商圈,中顺·领御公馆,高档住宅,海珠工业大道南永翠路2-14号,1,地面出口,830*3208,480*845,40000.0,1999,650,2600,3900,450,2250,没有限制
290,海珠区,工业大道南商圈,中顺·领御公馆,高档住宅,海珠工业大道南永翠路2-14号,1,车库进口,830*2790,480*845,40000.0,1999,650,2600,3900,450,2250,没有限制
291,海珠区,工业大道中商圈,保利·百合花园（二期）,高档住宅,海珠区工业大厦中381号,1,进口,830*3536,480*845,55000.0,2004,2056,8224,12336,1200,5500,限制地产
292,海珠区,工业大道中商圈,保利·百合花园（二期）,高档住宅,海珠区工业大厦中381号,1,出口,830*3536,480*845,55000.0,2004,2056,8224,12336,1200,5500,限制地产
293,海珠区,工业大道中商圈,保利·百合花园（一期),高档住宅,海珠区工业大厦中381号,1,进口,830*3700,480*845,55000.0,2004,2056,8224,12336,1200,5500,限制地产
294,海珠区,工业大道中商圈,保利·百合花园（一期),高档住宅,海珠区工业大厦中381号,1,出口,830*3700,480*845,55000.0,2004,2056,8224,12336,1200,5500,限制地产
295,海珠区,工业大道中商圈,保利·海棠花园,高档住宅,海珠区江燕北路9号,1,出口,830*3126,480*845,60000.0,2006,838,3352,5028,600,2400,限制地产
296,海珠区,工业大道中商圈,保利·海棠花园,高档住宅,海珠区江燕北路9号,1,进口,830*3536,480*845,60000.0,2006,838,3352,5028,600,2400,限制地产
297,海珠区,工业大道中商圈,保利花园,高档住宅,海珠工业大道中,1,对开进口,830*2142,440*920,60000.0,2000,6500,26000,40000,3000,12000,限制地产
298,海珠区,工业大道中商圈,保利花园,高档住宅,海珠工业大道中,1,对开出口,830*2142,440*920,60000.0,2000,6500,26000,40000,3000,12000,限制地产
299,海珠区,工业大道中商圈,海珠体育馆,综合商业,海珠区燕子岗路251号,1,出口,830*3700,440*920,,/,1500,6000,7500,1200,72000,没有限制
300,海珠区,工业大道中商圈,海珠体育馆,综合商业,海珠区燕子岗路251号,1,进口,830*3700,440*920,,/,1500,6000,7500,1200,72000,没有限制
301,海珠区,工业大道中商圈,雅致花园（工业大道门岗）,高档楼盘,海珠工业大道373号,1,混进混出,830*3290,410*780,38000.0,1998,950,3800,5700,600,3000,没有限制
302,海珠区,工业大道中商圈,雅致花园（江燕路门岗）,高档楼盘,海珠工业大道373号,1,混进混出,830*3700,410*780,38000.0,1998,950,3800,5700,600,3000,没有限制
303,海珠区,工业大道中商圈,雅致花园(商业广场）1,高档楼盘,海珠工业大道373号,1,进口,830*2790,410*780,38000.0,1998,950,3800,5700,600,3000,没有限制
304,海珠区,工业大道中商圈,雅致花园(商业广场）2,高档楼盘,海珠工业大道373号,1,出口,830*2716,410*780,38000.0,1998,950,3800,5700,600,3000,没有限制
305,海珠区,工业大道中商圈,越秀·海玥小区,高档住宅,海珠区南边路42号,1,出口1,830*2060,440*920,80000.0,2019,2300,9200,11500,2300,13800,限制地产
306,海珠区,工业大道中商圈,越秀·海玥小区,高档住宅,海珠区南边路42号,1,出口2,830*2060,440*920,80000.0,2019,2300,9200,11500,2300,13800,限制地产
307,海珠区,广州大道南商圈,翠馨华庭,高档住宅,广州大道南962号至968号,1,混进混出,830*3451,480*845,39000.0,2005,1008,4032,6048,650,2600,没有限制
308,海珠区,广州大道南商圈,帝侨酒店,综合商业,海珠区敦和路185号帝侨酒店,1,混进混出,830*3700,480*845,,/,500,2000,3000,400,1600,没有限制
309,海珠区,广州大道南商圈,宏德科技大厦,写字楼,海珠区广州大道南911号,1,混进混出,830*3700,480*845,,/,650,2600,3900,450,2250,没有限制
310,海珠区,广州大道南商圈,客村苑,住宅,海珠区敦和路140号,1,出口,830*2306,440*920,33000.0,2000,160,650,975,200,1000,没有限制
311,海珠区,广州大道南商圈,客村苑,住宅,海珠区敦和路140号,1,混进混出,830*2634,440*920,33000.0,2000,160,650,975,200,1000,没有限制
312,海珠区,广州大道南商圈,岭南小区,住宅,广州大道南敦和路110号,1,混进混出,830*3544,480*845,35000.0,1998,450,1800,2700,250,1000,没有限制
313,海珠区,广州大道南商圈,逸景翠园（西区）南门大门,高档住宅,海珠区逸景路,1,进口2,830*3700,480*845,60000.0,2000,7200,28800,43200,3500,17500,限制地产
314,海珠区,广州大道南商圈,逸景翠园（西区）南门大门,高档住宅,海珠区逸景路,1,进口1,830*3700,480*845,60000.0,2000,7200,28800,43200,3500,17500,限制地产
315,海珠区,广州大道南商圈,逸景翠园（西区）南门大门,高档住宅,海珠区逸景路,1,出口1,830*3700,480*845,60000.0,2000,7200,28800,43200,3500,17500,限制地产
316,海珠区,广州大道南商圈,逸景翠园（西区）南门大门,高档住宅,海珠区逸景路,1,出口2,830*3700,480*845,60000.0,2000,7200,28800,43200,3500,17500,限制地产
317,海珠区,广州大道南商圈,银业国际,高档住宅、综合商业,"海珠区广州大道南863,867-2号",1,进口,830*3290,480*845,40000.0,2009,600,2400,3600,400,2000,没有限制
318,海珠区,广州大道南商圈,银业国际,高档住宅、综合商业,"海珠区广州大道南863,867-2号",1,出口,830*3208,480*845,40000.0,2009,600,2400,3600,400,2000,没有限制
319,海珠区,广州大道南商圈,银业国际,高档住宅、综合商业,"海珠区广州大道南863,867-2号",1,混进混出,750*2800,440*920,,/,650,2600,3900,450,2250,没有限制
320,海珠区,广州塔商圈,磨碟沙花苑,高档住宅,海珠区琶洲大道9号,1,后门混进混出,750*2800,440*920,69000.0,2018,2000,8000,12000,1000,5000,没有限制
321,海珠区,广州塔商圈,磨碟沙花苑,高档住宅,海珠区琶洲大道9号,1,大门进口1,750*2800,440*920,69000.0,2018,2000,8000,12000,1000,5000,没有限制
322,海珠区,广州塔商圈,磨碟沙花苑,高档住宅,海珠区琶洲大道9号,1,大门出口1,750*2800,440*920,69000.0,2018,2000,8000,12000,1000,5000,没有限制
323,海珠区,广州塔商圈,磨碟沙花苑（商业门口）,高档住宅,海珠区琶洲大道9号,1,混进混出,750*2800,440*920,69000.0,2018,2000,8000,12000,1000,5000,没有限制
324,海珠区,广州塔商圈,磨碟沙花苑商业广场,综合商业、高档住宅,海珠区磨碟沙大街9号,1,出口,830*3126,480*845,69000.0,2018,2000,8000,12000,1000,5000,没有限制
325,海珠区,广州塔商圈,磨碟沙花苑商业广场,综合商业、高档住宅,海珠区磨碟沙大街9号,1,进口,830*2790,480*845,69000.0,2018,2000,8000,12000,1000,5000,没有限制
326,海珠区,海印桥商圈,佳大银湾,高档住宅,海珠区仲恺路642-706号,1,（宏图阁）混进混出,830*3700,480*845,65000.0,2002,810,3240,4860,650,3250,没有限制
327,海珠区,海印桥商圈,佳大银湾,高档住宅,海珠区仲恺路642-706号,1,A4进口,830*3700,480*845,65000.0,2002,810,3240,4860,650,3250,没有限制
328,海珠区,海印桥商圈,佳大银湾,高档住宅,海珠区仲恺路642-706号,1,（利和阁）混进混出,830*3700,480*845,65000.0,2002,810,3240,4860,650,3250,没有限制
329,海珠区,海印桥商圈,佳大银湾,高档住宅,海珠区仲恺路642-706号,1,A4出口,830*3208,480*845,65000.0,2002,810,3240,4860,650,3250,没有限制
330,海珠区,海印桥商圈,珠江·晓悦都荟,高档住宅,珠区海联路9号,1,进口,750*2800,440*920,63000.0,2019,450,1800,2700,400,2400,没有限制
331,海珠区,海印桥商圈,珠江·晓悦都荟,高档住宅,珠区海联路9号,1,出口,750*2800,440*920,63000.0,2019,450,1800,2700,400,2400,没有限制
332,海珠区,江海大道商圈,逸品花园,高档住宅,广州市海珠区岗园街89号,1,进口,830*3700,480*845,35000.0,1997,500,2000,3000,260,1300,没有限制
333,海珠区,江海大道商圈,逸品花园,高档住宅,广州市海珠区岗园街89号,1,出口,830*3700,480*845,35000.0,1997,500,2000,3000,260,1300,没有限制
334,海珠区,江南大道南商圈,康泰花苑,住宅,海珠区江泰路41号,1,混进混出,750*2800,440*920,35000.0,1997,900,3600,5400,450,2000,没有限制
335,海珠区,江南大道南商圈,翠怡小区,住宅,海珠区江南大道南481号,1,进口,750*3000,440*920,32000.0,1994,1024,4200,5100,650,5600,没有限制
336,海珠区,江南大道南商圈,翠怡小区,住宅,海珠区江南大道南481号,1,出口,750*3000,440*920,32000.0,1994,1024,4200,5100,650,5600,没有限制
337,海珠区,江南大道商圈,嘉丽苑,高档住宅,海珠区江南大道中紫来大街43-55号,1,出口,650*3280,480*845,35000.0,1998,500,2000,3000,350,1750,没有限制
338,海珠区,江南大道商圈,嘉丽苑,高档住宅,海珠区江南大道中紫来大街43-55号,1,进口,650*3280,480*845,35000.0,1998,500,2000,3000,350,1750,没有限制
339,海珠区,江南大道商圈,润汇大厦,高档住宅,海珠区江南西路67号,1,出口,750*2800,440*920,58000.0,2006,750,3000,3750,500,2500,没有限制
340,海珠区,江南大道商圈,润汇大厦,高档住宅,海珠区江南西路66号,1,进口,750*2800,440*920,58000.0,2006,750,3000,3750,500,2500,没有限制
341,海珠区,江南大道商圈,松园大厦,商住楼,海珠区前进路44—50号,1,混进混出,830*3700,480*845,38000.0,1999,450,1800,2700,230,1150,没有限制
342,海珠区,江南大道中商圈,富基广场（东门）,高档住宅,海珠区江南大道中小港路163号,1,出口,830*2716,410*780,60000.0,2002,3500,14000,21000,2300,11500,没有限制
343,海珠区,江南大道中商圈,富基广场（东门）,高档住宅,海珠区江南大道中小港路163号,1,进口,830*2142,410*780,60000.0,2002,3500,14000,21000,2300,11500,没有限制
344,海珠区,江南大道中商圈,富基广场二期,高档住宅、综合商业,海珠区江南大道中小港路163号,1,进口,830*2790,440*920,60000.0,2002,3500,14000,21000,2300,11500,没有限制
345,海珠区,江南大道中商圈,富基广场二期,高档住宅、综合商业,海珠区江南大道中小港路163号,1,出口,830*2880,440*920,60000.0,2002,3500,14000,21000,2300,11500,没有限制
346,海珠区,江南大道中商圈,益丰花园,高档住宅,海珠区江南大道中79-2号,1,进口,750*2400,440*920,40000.0,2003,2000,8000,10000,1000,6000,没有限制
347,海珠区,江南大道中商圈,益丰花园,高档住宅,海珠区江南大道中79-2号,1,出口,750*2400,440*920,40000.0,2003,2000,8000,10000,1000,6000,没有限制
348,海珠区,江燕路商圈,越秀·翡翠轩,高档住宅,海珠区翠宝路翠城花园西侧约30米,1,进口,750*2800,440*920,65000.0,2021,600,2400,3600,500,3000,限制地产
349,海珠区,江燕路商圈,越秀·翡翠轩,高档住宅,海珠区翠宝路翠城花园西侧约30米,1,出口,750*2800,440*920,65000.0,2021,600,2400,3600,500,3000,限制地产
350,海珠区,江燕路商圈,珠江南景园（南门）,高档住宅,海珠区燕翔路219号B9公交车总站旁,1,出口,830*2800,410*780,50000.0,2001,2300,9200,13800,1600,8000,限制地产
351,海珠区,江燕路商圈,珠江南景园（南门）,高档住宅,海珠区燕翔路219号B9公交车总站旁,1,进口,830*2707,410*780,50000.0,2001,2300,9200,13800,1600,8000,限制地产
352,海珠区,南洲路商圈,英豪花园五期,高档住宅,海珠区晓港湾盈丰路30号,1,混进混出,750*2800,440*920,55000.0,2005,2800,14000,16800,1000,6000,没有限制
353,海珠区,南洲路商圈,裕惠苑（商业）,住宅,海珠区南洲路125号地铁站D口旁,1,混进混出,750*2800,440*920,42000.0,2018,600,2400,3000,500,3000,没有限制
354,海珠区,南洲路商圈,裕惠苑（商业）,住宅,海珠区南洲路125号地铁站D口旁,1,混进混出,750*2400,440*920,42000.0,2018,600,2400,3000,500,3000,没有限制
355,海珠区,南洲路商圈,裕惠苑（小区）,住宅,海珠区南洲路125号地铁站D口旁,1,进口,830*3290,440*920,42000.0,2018,600,2400,3000,500,3000,没有限制
356,海珠区,南洲路商圈,裕惠苑（小区）,住宅,海珠区南洲路125号地铁站D口旁,1,出口,830*3372,440*920,42000.0,2018,600,2400,3000,500,3000,没有限制
357,海珠区,南洲路商圈,珠江御景湾（北门）,高档住宅,海珠区南洲路142号,1,出口,830*3290,440*920,51000.0,2002,2200,8800,13200,1800,9000,限制地产
358,海珠区,南洲路商圈,珠江御景湾（北门）,高档住宅,海珠区南洲路142号,1,进口,830*3290,440*920,51000.0,2002,2200,8800,13200,1800,9000,限制地产
359,海珠区,南洲路商圈,珠江御景湾（北门商业广场）,商业广场,海珠区南洲路142号,1,出口,830*3126,440*920,51000.0,2002,2200,8800,13200,1800,9000,限制地产
360,海珠区,南洲路商圈,珠江御景湾（北门商业广场）,商业广场,海珠区南洲路142号,1,进口,830*3700,440*920,51000.0,2002,2200,8800,13200,1800,9000,限制地产
361,海珠区,南洲路商圈,珠江御景湾（西门）,高档住宅,海珠区南洲路142号,1,出口,830*3044,440*920,51000.0,2002,2200,8800,13200,1800,9000,限制地产
362,海珠区,南洲路商圈,珠江御景湾（西门）,高档住宅,海珠区南洲路142号,1,进口,830*2880,440*920,51000.0,2002,2200,8800,13200,1800,9000,限制地产
363,海珠区,南洲路商圈,珠江御景湾（西门商业广场）,商业广场,海珠区南洲路142号,1,混进混出,830*3126,440*920,51000.0,2002,2200,8800,13200,1800,9000,限制地产
364,海珠区,南洲路商圈,珠江御景湾（月保车道）,高档住宅,海珠区南洲路142号,1,出口,830*3208,440*920,51000.0,2002,2200,8800,13200,1800,9000,限制地产
365,海珠区,南洲路商圈,珠江御景湾（月保车道）,高档住宅,海珠区南洲路142号,1,进口,830*3208,440*920,51000.0,2002,2200,8800,13200,1800,9000,限制地产
366,海珠区,琶洲商圈,方圆·大征场设计创意园,创意园,海珠区大征常街1号,1,混进混出,830*3700,440*920,,/,900,3600,4500,500,3000,没有限制
367,海珠区,琶洲商圈,富力壹号半岛,高档住宅,海珠区琶洲新港东路玥珑街1号,1,进口,750*2800,440*920,85000.0,2020,360,1800,2500,500,3000,限制地产
368,海珠区,琶洲商圈,富力壹号半岛,高档住宅,海珠区琶洲新港东路玥珑街1号,1,出口,750*2400,440*920,85000.0,2020,360,1800,2500,500,3000,限制地产
369,海珠区,琶洲商圈,乐天智谷,写字楼,海珠区新滘东路与科韵南路交叉路口往西约100米,1,前门出口,830*3700,440*920,,2021,2000,8000,12000,1500,7500,没有限制
370,海珠区,琶洲商圈,乐天智谷,写字楼,海珠区新滘东路与科韵南路交叉路口往西约100米,1,前门进口,830*3700,440*920,,2021,2000,8000,12000,1500,7500,没有限制
371,海珠区,琶洲商圈,乐天智谷,写字楼,海珠区新滘东路与科韵南路交叉路口往西约100米,1,后门出口,830*3700,440*920,,2021,2000,8000,12000,1500,7500,没有限制
372,海珠区,琶洲商圈,乐天智谷,写字楼,海珠区新滘东路与科韵南路交叉路口往西约100米,1,后门进口,830*3700,440*920,,2021,2000,8000,12000,1500,7500,没有限制
373,海珠区,琶洲商圈,琶洲商业广场,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,进口,830*3265,480*845,,2005,3000,12000,18000,2000,10000,没有限制
374,海珠区,琶洲商圈,琶洲商业广场,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,出口,830*3290,480*845,,2005,3000,12000,18000,2000,10000,没有限制
375,海珠区,琶洲商圈,琶洲商业街（北门）牌坊,综合商业,海珠区琶洲街道琶洲社区新港东路,1,进口,750*2800,480*845,,2005,6000,24000,36000,5000,25000,没有限制
376,海珠区,琶洲商圈,琶洲商业街（北门）牌坊,综合商业,海珠区琶洲街道琶洲社区新港东路,1,出口,750*2800,480*845,,2005,6000,24000,36000,5000,25000,没有限制
377,海珠区,琶洲商圈,琶洲商业街（南门）牌坊,综合商业,海珠区琶洲街道琶洲社区新港东路,1,进口,750*3000,480*845,,2005,6000,24000,36000,5000,25000,没有限制
378,海珠区,琶洲商圈,琶洲商业街（南门）牌坊,综合商业,海珠区琶洲街道琶洲社区新港东路,1,出口,750*3000,480*845,,2005,6000,24000,36000,5000,25000,没有限制
379,海珠区,琶洲商圈,琶洲新村（3号楼）,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,出口,830*3044,480*845,60000.0,2005,8500,34000,51000,4200,21000,没有限制
380,海珠区,琶洲商圈,琶洲新村（3号楼）,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,进口,830*3044,480*845,60000.0,2005,8500,34000,51000,4200,21000,没有限制
381,海珠区,琶洲商圈,琶洲新村（4号楼）,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,进口,830*3044,480*845,60000.0,2005,8500,34000,51000,4200,21000,没有限制
382,海珠区,琶洲商圈,琶洲新村（4号楼）,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,出口,830*3126,480*845,60000.0,2005,8500,34000,51000,4200,21000,没有限制
383,海珠区,琶洲商圈,琶洲新村（6号楼）,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,出口,830*2880,480*845,60000.0,2005,8500,34000,51000,4200,21000,没有限制
384,海珠区,琶洲商圈,琶洲新村（6号楼）,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,进口,830*2880,480*845,60000.0,2005,8500,34000,51000,4200,21000,没有限制
385,海珠区,琶洲商圈,琶洲新村（9号楼西门）,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,进口,830*3044,480*845,60000.0,2005,8500,34000,51000,4200,21000,没有限制
386,海珠区,琶洲商圈,琶洲新村（9号楼西门）,高档住宅,海珠区琶洲街道琶洲社区新港东路,1,出口,830*3044,480*845,60000.0,2005,8500,34000,51000,4200,21000,没有限制
387,海珠区,同福路商圈,同乐大厦,商住楼,海珠区同福中路450号——478号（工商银行同福路支行）,1,进口,830*2716,480*845,43000.0,1997,350,1400,2100,200,1000,没有限制
388,海珠区,同福路商圈,同乐大厦,商住楼,海珠区同福中路450号——478号（工商银行同福路支行）,1,出口,830*2716,480*845,43000.0,1997,350,1400,2100,200,1000,没有限制
389,海珠区,新港西路商圈,富景花园,高档住宅,海珠区新港西路68号,1,混进混出,830*2142,480*845,50000.0,2003,550,2200,3300,350,1400,没有限制
390,海珠区,新港西路商圈,富景花园,高档住宅,海珠区新港西路68号,1,混进混出,830*2142,480*845,50000.0,2003,550,2200,3300,350,1400,没有限制
391,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,东门（车库进口）,830*3126,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
392,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,东门（车库出口）,830*2634,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
393,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,北门（大门）进口1,830*3290,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
394,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,北门大门（对开出口）1,830*1814,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
395,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,北门大门（对开出口）2,830*2142,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
396,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,西门出口（学校旁）,830*3290,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
397,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,南门（车库进口）,830*3290,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
398,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,南门（出口）1,830*2634,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
399,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,南门（出口）2,830*2716,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
400,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,南门（大门）,830*3700,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
401,海珠区,新港西路商圈,越秀·江南新苑,高档住宅,海珠区新港西路40号,1,北门（车库）进口,830*3126,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
402,海珠区,新港西路商圈,越秀·江南新苑（北门商业）,高档住宅,海珠区新港西路40号,1,北门商业（混进混出）,750*2400,440*920,80000.0,2006,3500,140000,210000,3000,180000,限制地产
403,海珠区,中大商圈,中国科学电器研究院住宅区（鹭江地铁站）,大型住宅,海珠区新港路鹭江地铁站,1,出口,750*2800,440*920,45000.0,1998,850,3400,4250,600,3000,没有限制
404,海珠区,中大商圈,中国科学电器研究院住宅区（鹭江地铁站）,大型住宅,海珠区新港路鹭江地铁站,1,进口,750*2800,440*920,45000.0,1998,850,3400,4250,600,3000,没有限制
405,海珠区,中大商圈,珠江国际公馆,高档住宅,海珠区叠景路88号,1,进口,750*2800,440*920,50000.0,2016,1800,7200,9000,1500,6000,限制地产
406,海珠区,中大商圈,珠江国际公馆,高档住宅,海珠区叠景路88号,1,出口,750*2800,440*920,50000.0,2016,1800,7200,9000,1500,6000,限制地产
